" "," ","Irish Speakers (Number)",1213,987
" "," ","Non-Irish Speakers (Number)",629,458
" "," ","Not Stated (Number)",19,51
" "," ","Irish speakers as a percentage of total (%)",65.2,66.0
" ","30 - 34 years"
" "," ","Population Aged 3 Years and Over (Number)",2258,1917
" "," ","Irish Speakers (Number)",1427,1146
" "," ","Non-Irish Speakers (Number)",805,739
" "," ","Not Stated (Number)",26,32
" "," ","Irish speakers as a percentage of total (%)",63.2,59.8
" ","35 - 39 years"
" "," ","Population Aged 3 Years and Over (Number)",2517,2380
" "," ","Irish Speakers (Number)",1705,1482
" "," ","Non-Irish Speakers (Number)",783,862
" "," ","Not Stated (Number)",29,36
" "," ","Irish speakers as a percentage of total (%)",67.7,62.3
" ","40 - 44 years"
" "," ","Population Aged 3 Years and Over (Number)",2526,2514
" "," ","Irish Speakers (Number)",1723,1683
" "," ","Non-Irish Speakers (Number)",780,811
" "," ","Not Stated (Number)",23,20
" "," ","Irish speakers as a percentage of total (%)",68.2,66.9
" ","45 - 49 years"
" "," ","Population Aged 3 Years and Over (Number)",2458,2477
" "," ","Irish Speakers (Number)",1643,1628
" "," ","Non-Irish Speakers (Number)",792,820
" "," ","Not Stated (Number)",23,29
" "," ","Irish speakers as a percentage of total (%)",66.8,65.7
" ","50 - 54 years"
" "," ","Population Aged 3 Years and Over (Number)",2421,2376
" "," ","Irish Speakers (Number)",1745,1558
" "," ","Non-Irish Speakers (Number)",651,794
" "," ","Not Stated (Number)",25,24
" "," ","Irish speakers as a percentage of total (%)",72.1,65.6
" ","55 - 59 years"
" "," ","Population Aged 3 Years and Over (Number)",2178,2315
" "," ","Irish Speakers (Number)",1660,1586
" "," ","Non-Irish Speakers (Number)",496,692
" "," ","Not Stated (Number)",22,37
" "," ","Irish speakers as a percentage of total (%)",76.2,68.5
" ","60 - 64 years"
" "," ","Population Aged 3 Years and Over (Number)",1866,2117
" "," ","Irish Speakers (Number)",1399,1562
" "," ","Non-Irish Speakers (Number)",450,533
" "," ","Not Stated (Number)",17,22
" "," ","Irish speakers as a percentage of total (%)",75.0,73.8
" ","65 - 69 years"
" "," ","Population Aged 3 Years and Over (Number)",1432,1782
" "," ","Irish Speakers (Number)",1056,1321
" "," ","Non-Irish Speakers (Number)",358,439
" "," ","Not Stated (Number)",18,22
" "," ","Irish speakers as a percentage of total (%)",73.7,74.1
" ","70 - 74 years"
" "," ","Population Aged 3 Years and Over (Number)",976,1337
" "," ","Irish Speakers (Number)",778,972
" "," ","Non-Irish Speakers (Number)",186,345
" "," ","Not Stated (Number)",12,20
" "," ","Irish speakers as a percentage of total (%)",79.7,72.7
" ","75 - 79 years"
" "," ","Population Aged 3 Years and Over (Number)",726,864
" "," ","Irish Speakers (Number)",568,668
" "," ","Non-Irish Speakers (Number)",147,182
" "," ","Not Stated (Number)",11,14
" "," ","Irish speakers as a percentage of total (%)",78.2,77.3
" ","80 - 84 years"
" "," ","Population Aged 3 Years and Over (Number)",495,600
" "," ","Irish Speakers (Number)",410,452
" "," ","Non-Irish Speakers (Number)",77,138
" "," ","Not Stated (Number)",8,10
" "," ","Irish speakers as a percentage of total (%)",82.8,75.3
" ","85 years and over"
" "," ","Population Aged 3 Years and Over (Number)",456,525
" "," ","Irish Speakers (Number)",374,419
" "," ","Non-Irish Speakers (Number)",75,102
" "," ","Not Stated (Number)",7,4
" "," ","Irish speakers as a percentage of total (%)",82.0,79.8
"Kerry Gaeltacht Areas"
" ","All ages"
" "," ","Population Aged 3 Years and Over (Number)",8449,8461
" "," ","Irish Speakers (Number)",6185,5874
" "," ","Non-Irish Speakers (Number)",2121,2378
" "," ","Not Stated (Number)",143,209
" "," ","Irish speakers as a percentage of total (%)",73.2,69.4
" ","3 - 4 years"
" "," ","Population Aged 3 Years and Over (Number)",215,205
" "," ","Irish Speakers (Number)",142,128
" "," ","Non-Irish Speakers (Number)",67,70
" "," ","Not Stated (Number)",6,7
" "," ","Irish speakers as a percentage of total (%)",66.0,62.4
" ","5 - 9 years"
" "," ","Population Aged 3 Years and Over (Number)",452,486
" "," ","Irish Speakers (Number)",400,440
" "," ","Non-Irish Speakers (Number)",43,39
" "," ","Not Stated (Number)",9,7
" "," ","Irish speakers as a percentage of total (%)",88.5,90.5
" ","10 - 14 years"
" "," ","Population Aged 3 Years and Over (Number)",605,472
" "," ","Irish Speakers (Number)",561,403
" "," ","Non-Irish Speakers (Number)",39,27
" "," ","Not Stated (Number)",5,42
" "," ","Irish speakers as a percentage of total (%)",92.7,85.4
" ","15 - 19 years"
" "," ","Population Aged 3 Years and Over (Number)",602,560
" "," ","Irish Speakers (Number)",520,484
" "," ","Non-Irish Speakers (Number)",73,55
" "," ","Not Stated (Number)",9,21
" "," ","Irish speakers as a percentage of total (%)",86.4,86.4
" ","20 - 24 years"
" "," ","Population Aged 3 Years and Over (Number)",372,389
" "," ","Irish Speakers (Number)",278,261
" "," ","Non-Irish Speakers (Number)",86,120
" "," ","Not Stated (Number)",8,8
" "," ","Irish speakers as a percentage of total (%)",74.7,67.1
" ","25 - 29 years"
" "," ","Population Aged 3 Years and Over (Number)",479,390
" "," ","Irish Speakers (Number)",320,247
" "," ","Non-Irish Speakers (Number)",144,131
" "," ","Not Stated (Number)",15,12
" "," ","Irish speakers as a percentage of total (%)",66.8,63.3
" ","30 - 34 years"
" "," ","Population Aged 3 Years and Over (Number)",524,509
" "," ","Irish Speakers (Number)",362,303
" "," ","Non-Irish Speakers (Number)",154,195
" "," ","Not Stated (Number)",8,11
" "," ","Irish speakers as a percentage of total (%)",69.1,59.5
" ","35 - 39 years"
" "," ","Population Aged 3 Years and Over (Number)",610,547
" "," ","Irish Speakers (Number)",410,355
" "," ","Non-Irish Speakers (Number)",190,184
" "," ","Not Stated (Number)",10,8
" "," ","Irish speakers as a percentage of total (%)",67.2,64.9
" ","40 - 44 years"
" "," ","Population Aged 3 Years and Over (Number)",604,583
" "," ","Irish Speakers (Number)",419,388
" "," ","Non-Irish Speakers (Number)",173,176
" "," ","Not Stated (Number)",12,19
" "," ","Irish speakers as a percentage of total (%)",69.4,66.6
" ","45 - 49 years"
" "," ","Population Aged 3 Years and Over (Number)",646,576
" "," ","Irish Speakers (Number)",438,385
" "," ","Non-Irish Speakers (Number)",196,180
" "," ","Not Stated (Number)",12,11
" "," ","Irish speakers as a percentage of total (%)",67.8,66.8
" ","50 - 54 years"
" "," ","Population Aged 3 Years and Over (Number)",676,645
" "," ","Irish Speakers (Number)",464,417
" "," ","Non-Irish Speakers (Number)",194,219
" "," ","Not Stated (Number)",18,9
" "," ","Irish speakers as a percentage of total (%)",68.6,64.7
" ","55 - 59 years"
" "," ","Population Aged 3 Years and Over (Number)",697,731
" "," ","Irish Speakers (Number)",491,476
" "," ","Non-Irish Speakers (Number)",195,240
" "," ","Not Stated (Number)",11,15
" "," ","Irish speakers as a percentage of total (%)",70.4,65.1
" ","60 - 64 years"
" "," ","Population Aged 3 Years and Over (Number)",643,742
" "," ","Irish Speakers (Number)",446,493
" "," ","Non-Irish Speakers (Number)",187,237
" "," ","Not Stated (Number)",10,12
" "," ","Irish speakers as a percentage of total (%)",69.4,66.4
" ","65 - 69 years"
" "," ","Population Aged 3 Years and Over (Number)",473,664
" "," ","Irish Speakers (Number)",310,438
" "," ","Non-Irish Speakers (Number)",157,212
" "," ","Not Stated (Number)",6,14
" "," ","Irish speakers as a percentage of total (%)",65.5,66.0
" ","70 - 74 years"
" "," ","Population Aged 3 Years and Over (Number)",270,422
" "," ","Irish Speakers (Number)",178,274
" "," ","Non-Irish Speakers (Number)",91,138
" "," ","Not Stated (Number)",1,10
" "," ","Irish speakers as a percentage of total (%)",65.9,64.9
" ","75 - 79 years"
" "," ","Population Aged 3 Years and Over (Number)",223,233
" "," ","Irish Speakers (Number)",162,149
" "," ","Non-Irish Speakers (Number)",61,82
" "," ","Not Stated (Number)",0,2
" "," ","Irish speakers as a percentage of total (%)",72.6,63.9
" ","80 - 84 years"
" "," ","Population Aged 3 Years and Over (Number)",179,147
" "," ","Irish Speakers (Number)",146,108
" "," ","Non-Irish Speakers (Number)",31,39
" "," ","Not Stated (Number)",2,0
" "," ","Irish speakers as a percentage of total (%)",81.6,73.5
" ","85 years and over"
" "," ","Population Aged 3 Years and Over (Number)",179,160
" "," ","Irish Speakers (Number)",138,125
" "," ","Non-Irish Speakers (Number)",40,34
" "," ","Not Stated (Number)",1,1
" "," ","Irish speakers as a percentage of total (%)",77.1,78.1
"Mayo Gaeltacht Areas"
" ","All ages"
" "," ","Population Aged 3 Years and Over (Number)",10559,10072
" "," ","Irish Speakers (Number)",6667,6121
" "," ","Non-Irish Speakers (Number)",3730,3771
" "," ","Not Stated (Number)",162,180
" "," ","Irish speakers as a percentage of total (%)",63.1,60.8
" ","3 - 4 years"
" "," ","Population Aged 3 Years and Over (Number)",266,233
" "," ","Irish Speakers (Number)",123,95
" "," ","Non-Irish Speakers (Number)",129,129
" "," ","Not Stated (Number)",14,9
" "," ","Irish speakers as a percentage of total (%)",46.2,40.8
" ","5 - 9 years"
" "," ","Population Aged 3 Years and Over (Number)",657,617
" "," ","Irish Speakers (Number)",536,516
" "," ","Non-Irish Speakers (Number)",106,84
" "," ","Not Stated (Number)",15,17
" "," ","Irish speakers as a percentage of total (%)",81.6,83.6
" ","10 - 14 years"
" "," ","Population Aged 3 Years and Over (Number)",702,678
" "," ","Irish Speakers (Number)",591,571
" "," ","Non-Irish Speakers (Number)",99,98
" "," ","Not Stated (Number)",12,9
" "," ","Irish speakers as a percentage of total (%)",84.2,84.2
" ","15 - 19 years"
" "," ","Population Aged 3 Years and Over (Number)",691,655
" "," ","Irish Speakers (Number)",573,541
" "," ","Non-Irish Speakers (Number)",113,108
" "," ","Not Stated (Number)",5,6
" "," ","Irish speakers as a percentage of total (%)",82.9,82.6
" ","20 - 24 years"
" "," ","Population Aged 3 Years and Over (Number)",511,424
" "," ","Irish Speakers (Number)",331,285
" "," ","Non-Irish Speakers (Number)",178,134
" "," ","Not Stated (Number)",2,5
" "," ","Irish speakers as a percentage of total (%)",64.8,67.2
" ","25 - 29 years"
" "," ","Population Aged 3 Years and Over (Number)",640,422
" "," ","Irish Speakers (Number)",368,248
" "," ","Non-Irish Speakers (Number)",261,162
" "," ","Not Stated (Number)",11,12
" "," ","Irish speakers as a percentage of total (%)",57.5,58.8
" ","30 - 34 years"
" "," ","Population Aged 3 Years and Over (Number)",551,617
" "," ","Irish Speakers (Number)",323,335
" "," ","Non-Irish Speakers (Number)",219,271
" "," ","Not Stated (Number)",9,11
" "," ","Irish speakers as a percentage of total (%)",58.6,54.3
" ","35 - 39 years"
" "," ","Population Aged 3 Years and Over (Number)",634,545
" "," ","Irish Speakers (Number)",383,294
" "," ","Non-Irish Speakers (Number)",237,239
" "," ","Not Stated (Number)",14,12
" "," ","Irish speakers as a percentage of total (%)",60.4,53.9
" ","40 - 44 years"
" "," ","Population Aged 3 Years and Over (Number)",694,619
" "," ","Irish Speakers (Number)",384,359
" "," ","Non-Irish Speakers (Number)",296,255
" "," ","Not Stated (Number)",14,5
" "," ","Irish speakers as a percentage of total (%)",55.3,58.0
" ","45 - 49 years"
" "," ","Population Aged 3 Years and Over (Number)",722,660
" "," ","Irish Speakers (Number)",419,339
" "," ","Non-Irish Speakers (Number)",294,307
" "," ","Not Stated (Number)",9,14
" "," ","Irish speakers as a percentage of total (%)",58.0,51.4
" ","50 - 54 years"
" "," ","Population Aged 3 Years and Over (Number)",785,694
" "," ","Irish Speakers (Number)",443,379
" "," ","Non-Irish Speakers (Number)",335,306
" "," ","Not Stated (Number)",7,9
" "," ","Irish speakers as a percentage of total (%)",56.4,54.6
" ","55 - 59 years"
" "," ","Population Aged 3 Years and Over (Number)",800,768
" "," ","Irish Speakers (Number)",441,423
" "," ","Non-Irish Speakers (Number)",348,338
" "," ","Not Stated (Number)",11,7
" "," ","Irish speakers as a percentage of total (%)",55.1,55.1
" ","60 - 64 years"
" "," ","Population Aged 3 Years and Over (Number)",786,771
" "," ","Irish Speakers (Number)",450,398
" "," ","Non-Irish Speakers (Number)",327,364
" "," ","Not Stated (Number)",9,9
" "," ","Irish speakers as a percentage of total (%)",57.3,51.6
" ","65 - 69 years"
" "," ","Population Aged 3 Years and Over (Number)",624,785
" "," ","Irish Speakers (Number)",373,426
" "," ","Non-Irish Speakers (Number)",241,341
" "," ","Not Stated (Number)",10,18
" "," ","Irish speakers as a percentage of total (%)",59.8,54.3
" ","70 - 74 years"
" "," ","Population Aged 3 Years and Over (Number)",461,569
" "," ","Irish Speakers (Number)",274,299
" "," ","Non-Irish Speakers (Number)",181,258
" "," ","Not Stated (Number)",6,12
" "," ","Irish speakers as a percentage of total (%)",59.4,52.5
" ","75 - 79 years"
" "," ","Population Aged 3 Years and Over (Number)",433,402
" "," ","Irish Speakers (Number)",239,228
" "," ","Non-Irish Speakers (Number)",186,162
" "," ","Not Stated (Number)",8,12
" "," ","Irish speakers as a percentage of total (%)",55.2,56.7
" ","80 - 84 years"
" "," ","Population Aged 3 Years and Over (Number)",295,315
" "," ","Irish Speakers (Number)",193,186
" "," ","Non-Irish Speakers (Number)",99,123
" "," ","Not Stated (Number)",3,6
" "," ","Irish speakers as a percentage of total (%)",65.4,59.0
" ","85 years and over"
" "," ","Population Aged 3 Years and Over (Number)",307,298
" "," ","Irish Speakers (Number)",223,199
" "," ","Non-Irish Speakers (Number)",81,92
" "," ","Not Stated (Number)",3,7
" "," ","Irish speakers as a percentage of total (%)",72.6,66.8
"Meath Gaeltacht Areas"
" ","All ages"
" "," ","Population Aged 3 Years and Over (Number)",1699,1776
" "," ","Irish Speakers (Number)",1054,1062
" "," ","Non-Irish Speakers (Number)",618,704
" "," ","Not Stated (Number)",27,10
" "," ","Irish speakers as a percentage of total (%)",62.0,59.8
" ","3 - 4 years"
" "," ","Population Aged 3 Years and Over (Number)",53,62
" "," ","Irish Speakers (Number)",23,33
" "," ","Non-Irish Speakers (Number)",27,29
" "," ","Not Stated (Number)",3,0
" "," ","Irish speakers as a percentage of total (%)",43.4,53.2
" ","5 - 9 years"
" "," ","Population Aged 3 Years and Over (Number)",146,137
" "," ","Irish Speakers (Number)",107,105
" "," ","Non-Irish Speakers (Number)",32,31
" "," ","Not Stated (Number)",7,1
" "," ","Irish speakers as a percentage of total (%)",73.3,76.6
" ","10 - 14 years"
" "," ","Population Aged 3 Years and Over (Number)",176,142
" "," ","Irish Speakers (Number)",153,121
" "," ","Non-Irish Speakers (Number)",22,20
" "," ","Not Stated (Number)",1,1
" "," ","Irish speakers as a percentage of total (%)",86.9,85.2
" ","15 - 19 years"
" "," ","Population Aged 3 Years and Over (Number)",120,160
" "," ","Irish Speakers (Number)",97,138
" "," ","Non-Irish Speakers (Number)",22,21
" "," ","Not Stated (Number)",1,1
" "," ","Irish speakers as a percentage of total (%)",80.8,86.3
" ","20 - 24 years"
" "," ","Population Aged 3 Years and Over (Number)",110,89
" "," ","Irish Speakers (Number)",74,63
" "," ","Non-Irish Speakers (Number)",34,26
" "," ","Not Stated (Number)",2,0
" "," ","Irish speakers as a percentage of total (%)",67.3,70.8
" ","25 - 29 years"
" "," ","Population Aged 3 Years and Over (Number)",102,103
" "," ","Irish Speakers (Number)",58,62
" "," ","Non-Irish Speakers (Number)",42,40
" "," ","Not Stated (Number)",2,1
" "," ","Irish speakers as a percentage of total (%)",56.9,60.2
" ","30 - 34 years"
" "," ","Population Aged 3 Years and Over (Number)",93,110
" "," ","Irish Speakers (Number)",45,56
" "," ","Non-Irish Speakers (Number)",46,52
" "," ","Not Stated (Number)",2,2
" "," ","Irish speakers as a percentage of total (%)",48.4,50.9
" ","35 - 39 years"
" "," ","Population Aged 3 Years and Over (Number)",114,122
" "," ","Irish Speakers (Number)",63,51
" "," ","Non-Irish Speakers (Number)",49,70
" "," ","Not Stated (Number)",2,1
" "," ","Irish speakers as a percentage of total (%)",55.3,41.8
" ","40 - 44 years"
" "," ","Population Aged 3 Years and Over (Number)",146,119
" "," ","Irish Speakers (Number)",81,63
" "," ","Non-Irish Speakers (Number)",63,56
" "," ","Not Stated (Number)",2,0
" "," ","Irish speakers as a percentage of total (%)",55.5,52.9
" ","45 - 49 years"
" "," ","Population Aged 3 Years and Over (Number)",148,139
" "," ","Irish Speakers (Number)",82,70
" "," ","Non-Irish Speakers (Number)",65,67
" "," ","Not Stated (Number)",1,2
" "," ","Irish speakers as a percentage of total (%)",55.4,50.4
" ","50 - 54 years"
" "," ","Population Aged 3 Years and Over (Number)",148,156
" "," ","Irish Speakers (Number)",92,80
" "," ","Non-Irish Speakers (Number)",55,76
" "," ","Not Stated (Number)",1,0
" "," ","Irish speakers as a percentage of total (%)",62.2,51.3
" ","55 - 59 years"
" "," ","Population Aged 3 Years and Over (Number)",110,143
" "," ","Irish Speakers (Number)",62,81
" "," ","Non-Irish Speakers (Number)",48,62
" "," ","Not Stated (Number)",0,0
" "," ","Irish speakers as a percentage of total (%)",56.4,56.6
" ","60 - 64 years"
" "," ","Population Aged 3 Years and Over (Number)",69,98
" "," ","Irish Speakers (Number)",31,50
" "," ","Non-Irish Speakers (Number)",35,48
" "," ","Not Stated (Number)",3,0
" "," ","Irish speakers as a percentage of total (%)",44.9,51.0
" ","65 - 69 years"
" "," ","Population Aged 3 Years and Over (Number)",58,67
" "," ","Irish Speakers (Number)",25,32
" "," ","Non-Irish Speakers (Number)",33,35
" "," ","Not Stated (Number)",0,0
" "," ","Irish speakers as a percentage of total (%)",43.1,47.8
" ","70 - 74 years"
" "," ","Population Aged 3 Years and Over (Number)",37,52
" "," ","Irish Speakers (Number)",20,19
" "," ","Non-Irish Speakers (Number)",17,33
" "," ","Not Stated (Number)",0,0
" "," ","Irish speakers as a percentage of total (%)",54.1,36.5
" ","75 - 79 years"
" "," ","Population Aged 3 Years and Over (Number)",26,33
" "," ","Irish Speakers (Number)",19,17
" "," ","Non-Irish Speakers (Number)",7,15
" "," ","Not Stated (Number)",0,1
" "," ","Irish speakers as a percentage of total (%)",73.1,51.5
" ","80 - 84 years"
" "," ","Population Aged 3 Years and Over (Number)",23,24
" "," ","Irish Speakers (Number)",13,12
" "," ","Non-Irish Speakers (Number)",10,12
" "," ","Not Stated (Number)",0,0
" "," ","Irish speakers as a percentage of total (%)",56.5,50.0
" ","85 years and over"
" "," ","Population Aged 3 Years and Over (Number)",20,20
" "," ","Irish Speakers (Number)",9,9
" "," ","Non-Irish Speakers (Number)",11,11
" "," ","Not Stated (Number)",0,0
" "," ","Irish speakers as a percentage of total (%)",45.0,45.0
"Waterford  Gaeltacht Areas"
" ","All ages"
" "," ","Population Aged 3 Years and Over (Number)",1693,1738
" "," ","Irish Speakers (Number)",1271,1286
" "," ","Non-Irish Speakers (Number)",400,433
" "," ","Not Stated (Number)",22,19
" "," ","Irish speakers as a percentage of total (%)",75.1,74.0
" ","3 - 4 years"
" "," ","Population Aged 3 Years and Over (Number)",61,49
" "," ","Irish Speakers (Number)",39,37
" "," ","Non-Irish Speakers (Number)",18,10
" "," ","Not Stated (Number)",4,2
" "," ","Irish speakers as a percentage of total (%)",63.9,75.5
" ","5 - 9 years"
" "," ","Population Aged 3 Years and Over (Number)",133,167
" "," ","Irish Speakers (Number)",115,156
" "," ","Non-Irish Speakers (Number)",16,10
" "," ","Not Stated (Number)",2,1
" "," ","Irish speakers as a percentage of total (%)",86.5,93.4
" ","10 - 14 years"
" "," ","Population Aged 3 Years and Over (Number)",199,173
" "," ","Irish Speakers (Number)",184,165
" "," ","Non-Irish Speakers (Number)",12,8
" "," ","Not Stated (Number)",3,0
" "," ","Irish speakers as a percentage of total (%)",92.5,95.4
" ","15 - 19 years"
" "," ","Population Aged 3 Years and Over (Number)",103,126
" "," ","Irish Speakers (Number)",97,111
" "," ","Non-Irish Speakers (Number)",6,14
" "," ","Not Stated (Number)",0,1
" "," ","Irish speakers as a percentage of total (%)",94.2,88.1
" ","20 - 24 years"
" "," ","Population Aged 3 Years and Over (Number)",74,66
" "," ","Irish Speakers (Number)",61,56
" "," ","Non-Irish Speakers (Number)",12,10
" "," ","Not Stated (Number)",1,0
" "," ","Irish speakers as a percentage of total (%)",82.4,84.8
" ","25 - 29 years"
" "," ","Population Aged 3 Years and Over (Number)",94,57
" "," ","Irish Speakers (Number)",74,44
" "," ","Non-Irish Speakers (Number)",19,12
" "," ","Not Stated (Number)",1,1
" "," ","Irish speakers as a percentage of total (%)",78.7,77.2
" ","30 - 34 years"
" "," ","Population Aged 3 Years and Over (Number)",101,98
" "," ","Irish Speakers (Number)",70,67
" "," ","Non-Irish Speakers (Number)",28,31
" "," ","Not Stated (Number)",3,0
" "," ","Irish speakers as a percentage of total (%)",69.3,68.4
" ","35 - 39 years"
" "," ","Population Aged 3 Years and Over (Number)",148,118
" "," ","Irish Speakers (Number)",95,78
" "," ","Non-Irish Speakers (Number)",53,40
" "," ","Not Stated (Number)",0,0
" "," ","Irish speakers as a percentage of total (%)",64.2,66.1
" ","40 - 44 years"
" "," ","Population Aged 3 Years and Over (Number)",145,148
" "," ","Irish Speakers (Number)",93,101
" "," ","Non-Irish Speakers (Number)",50,47
" "," ","Not Stated (Number)",2,0
" "," ","Irish speakers as a percentage of total (%)",64.1,68.2
" ","45 - 49 years"
" "," ","Population Aged 3 Years and Over (Number)",141,146
" "," ","Irish Speakers (Number)",102,90
" "," ","Non-Irish Speakers (Number)",38,55
" "," ","Not Stated (Number)",1,1
" "," ","Irish speakers as a percentage of total (%)",72.3,61.6
" ","50 - 54 years"
" "," ","Population Aged 3 Years and Over (Number)",121,138
" "," ","Irish Speakers (Number)",78,87
" "," ","Non-Irish Speakers (Number)",42,47
" "," ","Not Stated (Number)",1,4
" "," ","Irish speakers as a percentage of total (%)",64.5,63.0
" ","55 - 59 years"
" "," ","Population Aged 3 Years and Over (Number)",104,119
" "," ","Irish Speakers (Number)",85,74
" "," ","Non-Irish Speakers (Number)",19,42
" "," ","Not Stated (Number)",0,3
" "," ","Irish speakers as a percentage of total (%)",81.7,62.2
" ","60 - 64 years"
" "," ","Population Aged 3 Years and Over (Number)",77,94
" "," ","Irish Speakers (Number)",55,74
" "," ","Non-Irish Speakers (Number)",22,20
" "," ","Not Stated (Number)",0,0
" "," ","Irish speakers as a percentage of total (%)",71.4,78.7
" ","65 - 69 years"
" "," ","Population Aged 3 Years and Over (Number)",58,78
" "," ","Irish Speakers (Number)",38,53
" "," ","Non-Irish Speakers (Number)",19,25
" "," ","Not Stated (Number)",1,0
" "," ","Irish speakers as a percentage of total (%)",65.5,67.9
" ","70 - 74 years"
" "," ","Population Aged 3 Years and Over (Number)",57,59
" "," ","Irish Speakers (Number)",39,30
" "," ","Non-Irish Speakers (Number)",16,29
" "," ","Not Stated (Number)",2,0
" "," ","Irish speakers as a percentage of total (%)",68.4,50.8
" ","75 - 79 years"
" "," ","Population Aged 3 Years and Over (Number)",44,45
" "," ","Irish Speakers (Number)",27,29
" "," ","Non-Irish Speakers (Number)",17,13
" "," ","Not Stated (Number)",0,3
" "," ","Irish speakers as a percentage of total (%)",61.4,64.4
" ","80 - 84 years"
" "," ","Population Aged 3 Years and Over (Number)",20,34
" "," ","Irish Speakers (Number)",12,21
" "," ","Non-Irish Speakers (Number)",7,12
" "," ","Not Stated (Number)",1,1
" "," ","Irish speakers as a percentage of total (%)",60.0,61.8
" ","85 years and over"
" "," ","Population Aged 3 Years and Over (Number)",13,23
" "," ","Irish Speakers (Number)",7,13
" "," ","Non-Irish Speakers (Number)",6,8
" "," ","Not Stated (Number)",0,2
" "," ","Irish speakers as a percentage of total (%)",53.8,56.5

"When excluding not stated, people with an ability to speak Irish made "
"up 39.8% of the population in 2016 "

